index,name,url,higher_level,desc,range,components,ritual,duration,concentration,casting_time,level,classes,subclasses,school.index,school.name,school.url,material,dc.dc_type.index,dc.dc_type.name,dc.dc_type.url,dc.dc_success,damage.damage_type.index,damage.damage_type.name,damage.damage_type.url,damage.damage_at_character_level.1,damage.damage_at_character_level.5,damage.damage_at_character_level.11,damage.damage_at_character_level.17,area_of_effect.type,area_of_effect.size,heal_at_slot_level.1,heal_at_slot_level.2,heal_at_slot_level.3,heal_at_slot_level.4,heal_at_slot_level.5,heal_at_slot_level.6,heal_at_slot_level.7,heal_at_slot_level.8,heal_at_slot_level.9,attack_type,damage.damage_at_slot_level.1,damage.damage_at_slot_level.2,damage.damage_at_slot_level.3,damage.damage_at_slot_level.4,damage.damage_at_slot_level.5,damage.damage_at_slot_level.6,damage.damage_at_slot_level.7,damage.damage_at_slot_level.8,damage.damage_at_slot_level.9,dc.desc,AtSlot1,AtSlot2,AtSlot3,AtSlot4,AtSlot5,AtSlot6,AtSlot7,AtSlot8,AtSlot9
create-or-destroy-water,Create or Destroy Water,/api/spells/create-or-destroy-water,"['When you cast this spell using a spell slot of 2nd level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st.']","['You either create or destroy water.', '***Create Water.*** You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range.', '***Destroy Water.*** You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range.']",30 feet,"['V', 'S', 'M']",False,Instantaneous,False,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",transmutation,Transmutation,/api/magic-schools/transmutation,"A drop of water if creating water, or a few grains of sand if destroying it.",,,,,,,,,,,,cube,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cure-wounds,Cure Wounds,/api/spells/cure-wounds,"['When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d8 for each slot level above 1st.']",['A creature you touch regains a number of hit points equal to 1d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.'],Touch,"['V', 'S']",False,Instantaneous,False,1 action,1,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'life', 'name': 'Life', 'url': '/api/subclasses/life'}]",evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,,,1d8 + MOD,2d8 + MOD,3d8 + MOD,4d8 + MOD,5d8 + MOD,6d8 + MOD,7d8 + MOD,8d8 + MOD,9d8 + MOD,,,,,,,,,,,,1d8 + MOD,2d8 + MOD,3d8 + MOD,4d8 + MOD,5d8 + MOD,6d8 + MOD,7d8 + MOD,8d8 + MOD,9d8 + MOD
detect-evil-and-good,Detect Evil and Good,/api/spells/detect-evil-and-good,[],"['For the duration, you know if there is an aberration, celestial, elemental, fey, fiend, or undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated.', 'The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.']",Self,"['V', 'S']",False,Up to 10 minutes,True,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,,,,,,,,,,,,,sphere,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detect-magic,Detect Magic,/api/spells/detect-magic,[],"['For the duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.', 'The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.']",Self,"['V', 'S']",True,Up to 10 minutes,True,1 action,1,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,,,,,,,,,,,,,sphere,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detect-poison-and-disease,Detect Poison and Disease,/api/spells/detect-poison-and-disease,[],"['For the duration, you can sense the presence and location of poisons, poisonous creatures, and diseases within 30 feet of you. You also identify the kind of poison, poisonous creature, or disease in each case.', 'The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood or dirt.']",Self,"['V', 'S', 'M']",True,Up to 10 minutes,True,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'ranger', 'name': 'Ranger', 'url': '/api/classes/ranger'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,A yew leaf.,,,,,,,,,,,,sphere,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guiding-bolt,Guiding Bolt,/api/spells/guiding-bolt,"['When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d6 for each slot level above 1st.']","['A flash of light streaks toward a creature of your choice within range. Make a ranged spell attack against the target. On a hit, the target takes 4d6 radiant damage, and the next attack roll made against this target before the end of your next turn has advantage, thanks to the mystical dim light glittering on the target until then.']",120 feet,"['V', 'S']",False,1 round,False,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",evocation,Evocation,/api/magic-schools/evocation,,,,,,radiant,Radiant,/api/damage-types/radiant,,,,,,,,,,,,,,,,ranged,4d6,5d6,6d6,7d6,8d6,9d6,10d6,11d6,12d6,,4d6,5d6,6d6,7d6,8d6,9d6,10d6,11d6,12d6
healing-word,Healing Word,/api/spells/healing-word,"['When you cast this spell using a spell slot of 2nd level or higher, the healing increases by 1d4 for each slot level above 1st.']",['A creature of your choice that you can see within range regains hit points equal to 1d4 + your spellcasting ability modifier. This spell has no effect on undead or constructs.'],60 feet,['V'],False,Instantaneous,False,1 bonus action,1,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",evocation,Evocation,/api/magic-schools/evocation,,,,,,,,,,,,,,,1d4 + MOD,2d4 + MOD,3d4 + MOD,4d4 + MOD,5d4 + MOD,6d4 + MOD,7d4 + MOD,8d4 + MOD,9d4 + MOD,,,,,,,,,,,,1d4 + MOD,2d4 + MOD,3d4 + MOD,4d4 + MOD,5d4 + MOD,6d4 + MOD,7d4 + MOD,8d4 + MOD,9d4 + MOD
inflict-wounds,Inflict Wounds,/api/spells/inflict-wounds,"['When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d10 for each slot level above 1st.']","['Make a melee spell attack against a creature you can reach. On a hit, the target takes 3d10 necrotic damage.']",Touch,"['V', 'S']",False,Instantaneous,False,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",necromancy,Necromancy,/api/magic-schools/necromancy,,,,,,necrotic,Necrotic,/api/damage-types/necrotic,,,,,,,,,,,,,,,,melee,3d10,4d10,5d10,6d10,7d10,8d10,9d10,10d10,11d10,,3d10,4d10,5d10,6d10,7d10,8d10,9d10,10d10,11d10
protection-from-evil-and-good,Protection from Evil and Good,/api/spells/protection-from-evil-and-good,[],"['Until the spell ends, one willing creature you touch is protected against certain types of creatures: aberrations, celestials, elementals, fey, fiends, and undead.', ""The protection grants several benefits. Creatures of those types have disadvantage on attack rolls against the target. The target also can't be charmed, frightened, or possessed by them. If the target is already charmed, frightened, or possessed by such a creature, the target has advantage on any new saving throw against the relevant effect.""]",Touch,"['V', 'S', 'M']",False,Up to 10 minutes,True,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}, {'index': 'warlock', 'name': 'Warlock', 'url': '/api/classes/warlock'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'devotion', 'name': 'Devotion', 'url': '/api/subclasses/devotion'}]",abjuration,Abjuration,/api/magic-schools/abjuration,"Holy water or powdered silver and iron, which the spell consumes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purify-food-and-drink,Purify Food and Drink,/api/spells/purify-food-and-drink,[],['All nonmagical food and drink within a 5-foot radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.'],10 feet,"['V', 'S']",True,Instantaneous,False,1 action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",transmutation,Transmutation,/api/magic-schools/transmutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanctuary,Sanctuary,/api/spells/sanctuary,[],"[""You ward a creature within range against attack. Until the spell ends, any creature who targets the warded creature with an attack or a harmful spell must first make a wisdom saving throw. On a failed save, the creature must choose a new target or lose the attack or spell. This spell doesn't protect the warded creature from area effects, such as the explosion of a fireball."", 'If the warded creature makes an attack or casts a spell that affects an enemy creature, this spell ends.']",30 feet,"['V', 'S', 'M']",False,1 minute,False,1 bonus action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'devotion', 'name': 'Devotion', 'url': '/api/subclasses/devotion'}]",abjuration,Abjuration,/api/magic-schools/abjuration,A small silver mirror.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield-of-faith,Shield of Faith,/api/spells/shield-of-faith,[],"['A shimmering field appears and surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration.']",60 feet,"['V', 'S', 'M']",False,Up to 10 minutes,True,1 bonus action,1,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",abjuration,Abjuration,/api/magic-schools/abjuration,A small parchment with a bit of holy text written on it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aid,Aid,/api/spells/aid,"[""When you cast this spell using a spell slot of 3rd level or higher, a target's hit points increase by an additional 5 for each slot level above 2nd.""]","[""Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.""]",30 feet,"['V', 'S', 'M']",False,8 hours,False,1 action,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'paladin', 'name': 'Paladin', 'url': '/api/classes/paladin'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",abjuration,Abjuration,/api/magic-schools/abjuration,A tiny strip of white cloth.,,,,,,,,,,,,,,,5,10,15,20,25,30,35,40,,,,,,,,,,,,,5,10,15,20,25,30,35,40
augury,Augury,/api/spells/augury,[],"['By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes. The GM chooses from the following possible omens:', '- Weal, for good results', '- Woe, for bad results', '- Weal and woe, for both good and bad results', ""- Nothing, for results that aren't especially good or bad"", ""The spell doesn't take into account any possible circumstances that might change the outcome, such as the casting of additional spells or the loss or gain of a companion."", 'If you cast the spell two or more times before completing your next long rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The GM makes this roll in secret.']",Self,"['V', 'S', 'M']",True,Instantaneous,False,1 minute,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",divination,Divination,/api/magic-schools/divination,"Specially marked sticks, bones, or similar tokens worth at least 25gp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blindness-deafness,Blindness/Deafness,/api/spells/blindness-deafness,"['When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.']","['You can blind or deafen a foe. Choose one creature that you can see within range to make a constitution saving throw. If it fails, the target is either blinded or deafened (your choice) for the duration. At the end of each of its turns, the target can make a constitution saving throw. On a success, the spell ends.']",30 feet,['V'],False,1 minute,False,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}, {'index': 'fiend', 'name': 'Fiend', 'url': '/api/subclasses/fiend'}]",necromancy,Necromancy,/api/magic-schools/necromancy,,con,CON,/api/ability-scores/con,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calm-emotions,Calm Emotions,/api/spells/calm-emotions,[],"['You attempt to suppress strong emotions in a group of people. Each humanoid in a 20-foot-radius sphere centered on a point you choose within range must make a charisma saving throw; a creature can choose to fail this saving throw if it wishes. If a creature fails its saving throw, choose one of the following two effects. You can suppress any effect causing a target to be charmed or frightened. When this spell ends, any suppressed effect resumes, provided that its duration has not expired in the meantime.', 'Alternatively, you can make a target indifferent about creatures of your choice that it is hostile toward. This indifference ends if the target is attacked or harmed by a spell or if it witnesses any of its friends being harmed. When the spell ends, the creature becomes hostile again, unless the GM rules otherwise.']",60 feet,"['V', 'S']",False,Up to 1 minute,True,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",enchantment,Enchantment,/api/magic-schools/enchantment,,cha,CHA,/api/ability-scores/cha,none,,,,,,,,sphere,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continual-flame,Continual Flame,/api/spells/continual-flame,[],"[""A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The effect looks like a regular flame, but it creates no heat and doesn't use oxygen. A continual flame can be covered or hidden but not smothered or quenched.""]",Touch,"['V', 'S', 'M']",False,Until dispelled,False,1 action,2,"[{'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'wizard', 'name': 'Wizard', 'url': '/api/classes/wizard'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",evocation,Evocation,/api/magic-schools/evocation,"Ruby dust worth 50 gp, which the spell consumes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enhance-ability,Enhance Ability,/api/spells/enhance-ability,"['When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.']","['You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects; the target gains that effect until the spell ends.', ""***Bear's Endurance.*** The target has advantage on constitution checks. It also gains 2d6 temporary hit points, which are lost when the spell ends."", ""***Bull's Strength.*** The target has advantage on strength checks, and his or her carrying capacity doubles."", ""***Cat's Grace.*** The target has advantage on dexterity checks. It also doesn't take damage from falling 20 feet or less if it isn't incapacitated."", ""***Eagle's Splendor.*** The target has advantage on Charisma checks."", ""***Fox's Cunning.*** The target has advantage on intelligence checks."", ""***Owl's Wisdom.*** The target has advantage on wisdom checks.""]",Touch,"['V', 'S', 'M']",False,Up to 1 hour,True,1 action,2,"[{'index': 'bard', 'name': 'Bard', 'url': '/api/classes/bard'}, {'index': 'cleric', 'name': 'Cleric', 'url': '/api/classes/cleric'}, {'index': 'druid', 'name': 'Druid', 'url': '/api/classes/druid'}, {'index': 'sorcerer', 'name': 'Sorcerer', 'url': '/api/classes/sorcerer'}]","[{'index': 'lore', 'name': 'Lore', 'url': '/api/subclasses/lore'}]",transmutation,Transmutation,/api/magic-schools/transmutation,Fur or a feather from a beast.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
